TOWNAME,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,POINT_X,POINT_Y,lon,lat
Aduana,YES,NA,902,1037.3,Offinso South Municipal,Ashanti,NA,No,NA,NA,642508.4486,776865.4291,7.026416571,-1.709792758
Adubenso Besease,YES,NA,620,713,Kwabre,Ashanti,NA,No,NA,NA,653468.9885,752667.7802,6.807305899,-1.611219599
Adubensobea,YES,NA,303,348.45,Kwabre,Ashanti,NA,No,NA,NA,652975.9983,753959.6326,6.819001398,-1.615646399
Adubensokese,YES,NA,508,584.2,Kwabre,Ashanti,NA,No,NA,NA,653305.4932,753161.0758,6.811771198,-1.612685999
Adukro,YES,NA,865,994.75,Offinso South Municipal,Ashanti,NA,No,NA,NA,646401.8859,769025.0145,6.955413198,-1.6747495
Adukro,YES,NA,600,690,Afigya Kwabre,Ashanti,FEEDER ROAD,No,NA,NA,654129.3878,770530.7127,6.968828707,-1.604772599
Adukrom,YES,NA,16248,18685.2,Asokore Mampong Municipal,Ashanti,FEEDER ROAD,No,NA,NA,656270.2306,740803.3267,6.699938807,-1.586187199
Aduman New Town,YES,NA,2003,2303.45,Kwabre,Ashanti,NA,No,NA,NA,651621.2812,754619.4606,6.825003498,-1.627886499
Aduman Old Town,YES,NA,1177,1353.55,Kwabre,Ashanti,NA,No,NA,NA,652116.5454,754748.3799,6.826156598,-1.623402098
Adumasa,YES,NA,425,488.75,Atwima Mponua,Ashanti,NA,No,NA,NA,609117.9596,729763.1182,6.601125699,-2.012931599
Adumasa,YES,NA,812,933.8,Bekwai Municipal,Ashanti,NA,No,NA,NA,660237.5517,712316.1343,6.442218498,-1.551047499
Adumasa,YES,NA,5153,5925.95,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,686566.7548,725980.3628,6.565041998,-1.312617999
Adumasa,YES,NA,923,1061.45,Atwima Kwanwoma,Ashanti,NA,No,NA,NA,646707.8849,731598.7569,6.616937298,-1.672907299
Adumasa,YES,NA,780,897,Bosome Freho,Ashanti,FEEDER ROAD,No,NA,NA,669116.5227,716722.034,6.481826507,-1.470658399
Adumkrom (Aduam),YES,NA,448,515.2,Asante Akim Central Municipal,Ashanti,NA,No,NA,NA,694174.2076,727426.8262,6.577884299,-1.243788899
Adunku,YES,NA,647,744.05,Bosumtwe,Ashanti,NA,No,NA,NA,657732.2363,722702.2958,6.536207799,-1.573432799
Adunkunama,YES,NA,548,630.2,Amansie West,Ashanti,NA,No,NA,NA,627541.3726,717378.98,6.488762098,-1.846553899
Adupri Junction,YES,NA,1513,1739.95,Atwima Mponua,Ashanti,NA,No,NA,NA,597619.4093,729105.0952,6.595368999,-2.116947799
Adupri(Achiase),YES,UWE,725,833.75,Atwima Mponua,Ashanti,NA,No,NA,NA,599403.9263,725288.5486,6.560819498,-2.100868699
Adurom (Abi Bireso No.2),YES,NA,343,394.45,Sekyere East,Ashanti,NA,No,NA,NA,682931.6453,758199.7305,6.856487998,-1.344501998
Adutwam (Adutwum),YES,NA,797,916.55,Sekyere Central,Ashanti,NA,No,NA,NA,676944.6189,768945.914,6.953843498,-1.398341999
Adu-Womasi,YES,NA,852,979.8,Atwima Kwanwoma,Ashanti,NA,No,NA,NA,638146.5708,729831.4793,6.601154798,-1.750378599
Adwafo New-Town,YES,NA,1169,1344.35,Bosumtwe,Ashanti,NA,No,NA,NA,668302.8572,721408.4068,6.524227198,-1.477887199
Adwafo Old Town,YES,NA,756,869.4,Bosumtwe,Ashanti,NA,No,NA,NA,668277.4879,721283.1496,6.523095199,-1.47812
