Name.1,Community,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,X-Coord,Y-Coord,lon,lat
NORTHERN,Djakpemba,NO,NA,656,754.4,Nanumba North,Northern,NA,No,NA,NA,822859.3355,1008529.772,9.111853699,-6.29E-02
NORTHERN,Jelima,NO,NA,248,285.2,Saboba,Northern,NA,No,NA,NA,840548.5638,1074233.822,9.703930195,0.103111703
NORTHERN,Jemoni Dagomba,NO,NA,183,210.45,Saboba,Northern,NA,No,NA,NA,848910.3302,1046274.752,9.4507389,0.176874903
NORTHERN,Jemoni Konkonba,NO,NA,225,258.75,Saboba,Northern,NA,No,NA,NA,848702.0098,1046315.529,9.451124293,0.174983504
NORTHERN,Dodope 2,NO,NA,16,18.4,Kpandai,Northern,NA,No,NA,NA,825028.4723,931735.9658,8.418007297,-4.87E-02
NORTHERN,Djaleba,NO,NA,146,167.9,Nanumba North,Northern,NA,No,NA,NA,823409.675,959654.8578,8.670318397,-6.15E-02
NORTHERN,Jilma,NO,NA,537,617.55,Saboba,Northern,NA,No,NA,NA,853949.7133,1102755.833,9.960363099,0.227593104
NORTHERN,Jilma,NO,NA,325,373.75,Mion,Northern,NA,No,NA,NA,825814.2527,1080204.072,9.759046297,-3.05E-02
NORTHERN,Doku Akura,NO,NA,41,47.15,Kpandai,Northern,NA,No,NA,NA,795965.2538,911209.1824,8.234432881,-0.313663258
NORTHERN,Jingbani,NO,NA,229,263.35,Gushiegu,Northern,NA,No,NA,NA,818865.6892,1090157.209,9.849498693,-9.30E-02
NORTHERN,Jinwow,NO,NA,504,579.6,Gushiegu,Northern,UNDESIGNED ROAD,No,NA,NA,821470.3068,1091298.626,9.859603622,-6.92E-02
NORTHERN,Jobonjin,NO,NA,158,181.7,Gushiegu,Northern,UNDESIGNED ROAD,No,NA,NA,819537.113,1087128.405,9.822087065,-8.72E-02
NORTHERN,Gbanglua,NO,NA,590,678.5,Karaga,Northern,NA,No,NA,NA,782865.2375,1127403.022,10.18869299,-0.418327998
